Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
73.655	16:59:0.890	43.462229950	1.272889989	0.892105	125	1.296875
73.905	16:59:1.140	43.462229950	1.272889989	0.295387	125	0.199219
74.155	16:59:1.390	43.462229950	1.272889989	0.295387	125	0.199219
74.405	16:59:1.640	43.462229950	1.272889989	0.243653	125	0.222656
74.655	16:59:1.890	43.462229950	1.272889989	0.256923	125	0.222656
74.905	16:59:2.140	43.462229950	1.272889989	0.257526	125	0.222656
75.155	16:59:2.390	43.462229950	1.272889989	0.258123	125	0.222656
75.405	16:59:2.640	43.462229950	1.272889989	0.258719	125	0.199219
75.655	16:59:2.890	43.462229950	1.272889989	0.2	125	0.199219
75.905	16:59:3.140	43.462229950	1.272889989	0.2	125	1.066406
76.155	16:59:3.390	43.462229950	1.272889989	0.2	125	0.703125
76.405	16:59:3.640	43.462229950	1.272889989	0.2	125	0.929688
76.655	16:59:3.890	43.462229950	1.272889989	0.2	125	0.957031
76.905	16:59:4.140	43.462229950	1.272889989	0.2	125	1.226562
77.155	16:59:4.390	43.462229950	1.272889989	0.2	125	0.292969
77.405	16:59:4.640	43.462229950	1.272889989	0.274333	125	0.273438
77.655	16:59:4.890	43.462229950	1.272889989	0.2273	125	0.367188
77.905	16:59:5.140	43.462229950	1.272889989	0.2	125	1.296875
78.155	16:59:5.390	43.462229950	1.272889989	0.725326	125	0.765625
78.405	16:59:5.640	43.462229950	1.272889989	0.404247	125	0.308594
78.655	16:59:5.890	43.462229950	1.272889989	0.264636	125	0.199219
78.905	16:59:6.140	43.462229950	1.272889989	0.264636	125	0.199219
79.155	16:59:6.390	43.462229950	1.272889989	0.242105	125	0.199219
79.405	16:59:6.640	43.462229950	1.272889989	0.242105	125	0.199219
79.655	16:59:6.890	43.462229950	1.272889989	0.242105	125	0.234375
79.905	16:59:7.140	43.462229950	1.272889989	0.242105	125	0.238281
80.155	16:59:7.390	43.462229950	1.272889989	0.242105	125	0.242188
80.405	16:59:7.640	43.462229950	1.272889989	0.242105	125	0.242188
80.655	16:59:7.890	43.462229950	1.272889989	0.242105	125	0.242188
80.905	16:59:8.140	43.462229950	1.272889989	0.242105	125	0.242188
81.155	16:59:8.390	43.462229950	1.272889989	0.242105	125	0.242188
81.405	16:59:8.640	43.462229950	1.272889989	0.242105	125	0.242188
81.655	16:59:8.890	43.462229950	1.272889989	0.242105	125	0.242188
81.905	16:59:9.140	43.462229950	1.272889989	0.242105	125	0.246094
