Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
95.248	10:20:25.283	43.462229950	1.272889989	0.394306	117	0.554688
95.498	10:20:25.533	43.462229950	1.272889989	0.401166	117	0.542969
95.748	10:20:25.783	43.462229950	1.272889989	0.387323	117	0.535156
95.998	10:20:26.033	43.462229950	1.272889989	0.382307	117	0.550781
96.248	10:20:26.283	43.462229950	1.272889989	0.382073	117	0.582031
96.498	10:20:26.533	43.462229950	1.272889989	0.389983	117	0.585938
96.748	10:20:26.783	43.462229950	1.272889989	0.397947	117	0.574219
96.998	10:20:27.033	43.462229950	1.272889989	0.40309	117	0.539062
97.248	10:20:27.283	43.462229950	1.272889989	0.391127	117	0.539062
97.498	10:20:27.533	43.462229950	1.272889989	0.390836	117	0.535156
97.748	10:20:27.783	43.462229950	1.272889989	0.384974	117	0.550781
97.998	10:20:28.033	43.462229950	1.272889989	0.380251	117	0.582031
98.248	10:20:28.283	43.462229950	1.272889989	0.388776	117	0.59375
98.498	10:20:28.533	43.462229950	1.272889989	0.390709	117	0.59375
98.748	10:20:28.783	43.462229950	1.272889989	0.405769	117	0.550781
98.998	10:20:29.033	43.462229950	1.272889989	0.38804	117	0.558594
99.248	10:20:29.283	43.462229950	1.272889989	0.381455	117	0.585938
99.498	10:20:29.533	43.462229950	1.272889989	0.402273	117	0.589844
99.748	10:20:29.783	43.462229950	1.272889989	0.413796	117	0.542969
99.998	10:20:30.033	43.462229950	1.272889989	0.379196	117	0.53125
100.248	10:20:30.283	43.462229950	1.272889989	0.381658	117	0.570312
100.498	10:20:30.533	43.462229950	1.272889989	0.395247	117	0.578125
100.748	10:20:30.783	43.462229950	1.272889989	0.398856	117	0.558594
100.998	10:20:31.033	43.462229950	1.272889989	0.381591	117	0.5625
101.248	10:20:31.283	43.462229950	1.272889989	0.386983	117	0.589844
101.498	10:20:31.533	43.462229950	1.272889989	0.392882	117	0.585938
101.748	10:20:31.783	43.462229950	1.272889989	0.384632	117	0.574219
101.998	10:20:32.033	43.462229950	1.272889989	0.390958	117	0.570312
102.248	10:20:32.283	43.462229950	1.272889989	0.382918	117	0.585938
