Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
49.521	10:52:3.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
49.771	10:52:3.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
50.021	10:52:4.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
50.271	10:52:4.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
50.521	10:52:4.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
50.771	10:52:4.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
51.021	10:52:5.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
51.271	10:52:5.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
51.521	10:52:5.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
51.771	10:52:5.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
52.021	10:52:6.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
52.271	10:52:6.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
52.521	10:52:6.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
52.771	10:52:6.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
53.021	10:52:7.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
53.271	10:52:7.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
53.521	10:52:7.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
53.771	10:52:7.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
54.021	10:52:8.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
54.271	10:52:8.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
54.521	10:52:8.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
54.771	10:52:8.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
55.021	10:52:9.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
55.271	10:52:9.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
55.521	10:52:9.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
55.771	10:52:9.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
56.021	10:52:10.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
56.271	10:52:10.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
56.521	10:52:10.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
56.771	10:52:10.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
57.021	10:52:11.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
57.271	10:52:11.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
57.521	10:52:11.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
57.771	10:52:11.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
58.021	10:52:12.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
58.271	10:52:12.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
58.521	10:52:12.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
58.771	10:52:12.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
59.021	10:52:13.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
59.271	10:52:13.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
59.521	10:52:13.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
59.771	10:52:13.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
60.021	10:52:14.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
60.271	10:52:14.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
60.521	10:52:14.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
60.771	10:52:14.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
61.021	10:52:15.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
61.271	10:52:15.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
61.521	10:52:15.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
61.771	10:52:15.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
62.021	10:52:16.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
62.271	10:52:16.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
62.521	10:52:16.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
62.771	10:52:16.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
63.021	10:52:17.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
63.271	10:52:17.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
63.521	10:52:17.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
63.771	10:52:17.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
64.021	10:52:18.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
64.271	10:52:18.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
64.521	10:52:18.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
64.771	10:52:18.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
65.021	10:52:19.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
65.271	10:52:19.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
65.521	10:52:19.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
65.771	10:52:19.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
66.021	10:52:20.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
66.271	10:52:20.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
66.521	10:52:20.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
66.771	10:52:20.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
67.021	10:52:21.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
67.271	10:52:21.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
67.521	10:52:21.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
67.771	10:52:21.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
68.021	10:52:22.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
68.271	10:52:22.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
68.521	10:52:22.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
68.771	10:52:22.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
69.021	10:52:23.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
69.271	10:52:23.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
69.521	10:52:23.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
69.771	10:52:23.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
70.021	10:52:24.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
70.271	10:52:24.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
70.521	10:52:24.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
70.771	10:52:24.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
71.021	10:52:25.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
71.271	10:52:25.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
71.521	10:52:25.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
71.771	10:52:25.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
72.021	10:52:26.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
72.271	10:52:26.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
72.521	10:52:26.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
72.771	10:52:26.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
73.021	10:52:27.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
73.271	10:52:27.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
73.521	10:52:27.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
73.771	10:52:27.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
74.021	10:52:28.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
74.271	10:52:28.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
74.521	10:52:28.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
74.771	10:52:28.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
75.021	10:52:29.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
75.271	10:52:29.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
75.521	10:52:29.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
75.771	10:52:29.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
76.021	10:52:30.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
76.271	10:52:30.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
76.521	10:52:30.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
76.771	10:52:30.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
77.021	10:52:31.221	43.462229950	1.272889989	0.35	0.35	124	0.238281
77.271	10:52:31.471	43.462229950	1.272889989	0.35	0.35	124	0.238281
77.521	10:52:31.721	43.462229950	1.272889989	0.35	0.35	124	0.238281
77.771	10:52:31.971	43.462229950	1.272889989	0.35	0.35	124	0.238281
78.021	10:52:32.221	43.462229950	1.272889989	0.35	0.35	124	0.238281
78.271	10:52:32.471	43.462229950	1.272889989	0.35	0.35	124	0.238281
78.521	10:52:32.721	43.462229950	1.272889989	0.35	0.35	124	0.238281
78.771	10:52:32.971	43.462229950	1.272889989	0.35	0.35	124	0.238281
79.021	10:52:33.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
79.271	10:52:33.471	43.462229950	1.272889989	0.35	0.35	124	0.238281
79.521	10:52:33.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
79.771	10:52:33.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
80.021	10:52:34.221	43.462229950	1.272889989	0.35	0.35	124	0.238281
80.271	10:52:34.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
80.521	10:52:34.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
80.771	10:52:34.971	43.462229950	1.272889989	0.35	0.35	124	0.238281
81.021	10:52:35.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
81.271	10:52:35.471	43.462229950	1.272889989	0.35	0.35	124	0.238281
81.521	10:52:35.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
81.771	10:52:35.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
82.021	10:52:36.221	43.462229950	1.272889989	0.35	0.35	124	0.238281
82.271	10:52:36.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
82.521	10:52:36.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
82.771	10:52:36.971	43.462229950	1.272889989	0.35	0.35	124	0.242188
83.021	10:52:37.221	43.462229950	1.272889989	0.35	0.35	124	0.242188
83.271	10:52:37.471	43.462229950	1.272889989	0.35	0.35	124	0.242188
83.521	10:52:37.721	43.462229950	1.272889989	0.35	0.35	124	0.242188
